id,Hardness,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average
0,9.0,100.0,7.900992,10.0,4.8,20.3920334,10.565180000000002,2.708,1.648,0.8800000000000001,0.4927359999999999,0.83736
1,2.3,66.0,15.232328,22.0,3.8333333333333335,54.27519833333333,9.6903,2.1466666666666665,1.913333333333333,1.22,0.4762733333333333,2.70793
2,3.0,116.0,11.4610100000002,18.0,5.0,39.466738,12.0863,2.752,1.732,0.946,0.476196,3.89105
3,6.0,180.0,7.65066,10.0,4.666666666666667,20.85344705555556,10.614044444444446,2.6464444444444446,1.7511111111111113,0.9933333333333336,0.4954477777777778,0.7901
4,6.8,242.0,36.025984,12.1,4.8,24.88692185,11.177555000000002,2.7845,1.732,0.8649999999999999,0.4927989999999999,0.96683
5,2.5,30.0,2.70174775,7.5,3.5,14.996859625,11.7051,2.6725000000000003,1.495,0.7225,0.6184925,0.50633
6,2.5,144.0,16.074151500000003,24.0,4.0,53.4902975,10.39875,2.24,1.93,1.1800000000000002,0.448895,2.34255
7,2.3,96.0,15.55,48.0,4.0,116.3255,8.897,2.24,2.015,1.1800000000000002,0.448895,0.84233
8,2.8,74.0,3.253996,7.4,4.2,14.610803,12.39211,2.77,1.5509999999999995,0.708,0.5982450000000001,0.70966
9,2.0,20.0,0.962995000000005,10.0,4.0,20.9940862215,11.28095,2.2,1.91,0.965,0.4927989999999999,0.11548
10,5.0,36.0,0.965,18.0,4.0,36.0685,8.2366,1.79,2.055,1.39,0.499,0.82565
11,3.5,228.0,24.574384,27.2,5.6,65.56541800000001,11.909720000000002,2.694,1.662,0.9559999999999998,0.4673040000000001,3.26959
12,7.8,80.0,5.876907999999999,10.0,5.333333333333333,20.492449117625004,11.510054166666668,2.79,1.6725,0.8183333333333332,0.492723125,0.82753
13,5.5,120.0,8.147992,10.0,4.8,20.2988926326,12.04083,2.755,1.705,0.91,0.4927189999999999,0.8148
14,6.3,112.0,13.053996,22.4,4.4,53.441338,11.14446,2.754,1.7420000000000002,0.8959999999999999,0.47907,4.74
15,3.5,30.0,2.70174775,7.5,4.0,14.996859625,11.7051,2.6725000000000003,1.495,0.71,0.6184925,0.54117
16,2.5,72.0,30.92,41.0,4.0,93.78445,8.888349999999997,2.18,1.97,1.37,0.401635,5.48
17,3.5,3328.0,10.207996,13.4,4.4,27.188418,11.0881,2.7380000000000004,1.7420000000000002,0.96,0.48502,1.78823
18,1.5,30.0,2.03,30.0,4.0,43.952,9.01375,2.045,2.045,1.36,0.42668,0.924
19,6.0,122.0,14.091992,12.2,4.8,25.077338,11.16682,2.884,1.7630000000000003,0.908,0.491604,1.04896
20,5.3,200.0,15.232328,14.333333333333336,4.5,30.61252,9.350333333333332,2.1566666666666667,1.8966666666666667,1.16,0.4850333333333334,0.93524
21,6.5,165.0,17.641328,10.0,4.666666666666667,20.185395713333328,11.706466666666666,2.845,1.7166666666666668,0.8116666666666665,0.4987149999999999,0.77525
22,6.0,74.0,34.058654,24.66666666666667,4.0,54.27519833333333,11.234699999999998,2.1466666666666665,1.83,0.9666666666666668,0.4705633333333334,3.958
23,10.0,20.0,1.74,10.0,4.0,20.9940862215,9.706,2.225,2.01,0.945,0.49901,0.66668
24,6.0,86.0,10.082327,18.666666666666668,4.0,41.86192333333333,11.754416666666666,2.858333333333333,1.7533333333333332,0.9433333333333334,0.4844733333333333,1.80922
25,3.5,86.0,10.507072,23.0,4.0,58.30341800000001,11.1479375,2.7270000000000003,1.745,0.945,0.47888,2.17405
26,6.3,184.0,40.747992,30.66666666666667,4.666666666666667,68.70049999999999,9.6903,2.44,1.923333333333333,1.16,0.4663883333333334,4.44055
27,6.0,100.0,15.593,10.0,4.8,20.2988926326,11.11696,2.8680000000000003,1.8200000000000005,0.8640000000000001,0.489272,2.19978
28,4.0,94.0,10.082327,17.333333333333332,5.333333333333333,38.979225333,11.8264,2.986666666666667,1.75,0.9733333333333332,0.4824666666666666,0.56215
29,3.0,108.0,14.632,36.0,3.5,108.295515,8.054,2.045,2.0975,1.36,0.42668,9.08
30,1.5,82.0,12.843328,41.0,3.1,93.8846,9.370384,2.279,1.9072,1.2145,0.4515899999999999,5.56317
31,5.5,33.0,2.70174775,4.4,3.2,11.663548,12.39211,2.77,1.5509999999999995,0.708,0.5982450000000001,0.62275
32,6.3,113.0,13.512992,11.3,4.44,23.099694928,10.13144,2.5948,1.705,0.9003999999999999,0.4822649999999999,1.3748
